AWKIKAY MIKUYTA KAMACHICHISHKA TANTACHIK KAMACHIY I KAPAKNIKI Hatun kallarikuna	LEY ORGÁNICA DEL RÉGIMEN DE LA SOBERANÍA ALIMENTARIA TÍTULO I PRINCIPIOS GENERALES	0.6
<p>	<p>	0
1 niki.	Artículo 1.	1.12857
Kay kamachiyka Mamallakta pay llankanata imashina paktachina mañay yuyayta churanatami charin; shina runakunata, ayllullaktata, llaktakunata kikinllatak achka uksi, alli mikunata charichun yachayñanta mashkanatami imashinapash kamanka, kawsaypi punchanta achka mikunata charichunmi rikunka.	Finalidad. ~~~ Esta Ley tiene por objeto establecer los mecanismos mediante los cuales el Estado cumpla con su obligación y objetivo estratégico de garantizar a las personas, comunidades y pueblos la autosuficiencia de alimentos sanos, nutritivos y culturalmente apropiados de forma permanente.	0.268802
Mikunata kamachichishka awkikayka tawka uchilla kamachikuna tantarishkami kan, kayka allpamanta murukunata pallashka mikunata tukuylla llaktayta willankapa churanami kan. ~~~ Shinallatak kay mikunakunata wakaychina, rantinchina, shuktakyachina, mintalanami kan, shinallatak: uksi mikunata, alli mikunata mikunami kan, chay mikunakunaka: uchilla, iñu, malta pakllapi tantarishka llankak runakunamanta, tukuylla kullkirayku tantarishkamanta, chalwak tantarimanta, iñu llankakwasimanta, makirurakmantashamuchunmi kan. ~~~ Kaykunaka tawkasami tarpuy kawsayta, ñawpa yachaykunata, ñawpa tarpuykunatami sumaychana kanka. ~~~ Kayta paktapakta tiksiwan, yanapaywan, runakunata yaykuchiwan, pachamamatapash charirayaywanmi kanka.	El régimen de la soberanía alimentaria se constituye por el conjunto de normas conexas, destinadas a establecer en forma soberana las políticas públicas agroalimentarias para fomentar la producción suficiente y la adecuada conservación, intercambio, transformación, comercialización y consumo de alimentos sanos, nutritivos, preferentemente provenientes de la pequeña, la micro, pequeña y mediana producción campesina, de las organizaciones económicas populares y de la pesca artesanal así como microempresa y artesanía; respetando y protegiendo la agrobiodiversidad, los conocimientos y formas de producción tradicionales y ancestrales, bajo los principios de equidad, solidaridad, inclusión, sustentabilidad social y ambiental.	-0.0853498
Mamallaktami hatun kamachikkunapak patawan, suyu kamachikkunapak patawan, tukuylla llaktay mikuyta awkichi kamachichishkata mirachinka, kaytaka Mamallaktapak Mamakamachiypi churashkata katishpa Llikapak Hatun Ushaykuna kimirikta mirachinka.	El Estado a través de los niveles de gobierno nacional y subnacionales implementará las políticas públicas referentes al régimen de soberanía alimentaria en función del Sistema Nacional de Competencias establecidas en la Constitución de la República y la Ley.	0.79589
<p>	<p>	0
2 niki.	Artículo 2.	1.12857
Imashina, paktachina karmapash.	Carácter y ámbito de aplicación.	0.289655
Kay kamachiypak kachaykunaka tukuylla runapak, tukuy runakuna munashka, tukuyta tantachik, hatun kuskapurata nikikunami kan.	Las disposiciones de esta Ley son de orden público, interés social y carácter integral e intersectorial.	0.226667
Sumakta kawsanapa yachaykunata patachinka, awki mikuypak imapachapipash achkasami yachayta, ruraytapash paktachinka.	Regularán el ejercicio de los derechos del buen vivir -sumak kawsay- concernientes a la soberanía alimentaria, en sus múltiples dimensiones.	0.507944
Paypak karmaka pallamushka murukunamanta chakramikuymi hamutarin;tarpuy tawkasamikawsay,muyukuna,yachaykunataripaymanta,yachaypura rimanakuymantapash hamutarinmi.		-0.3
Shinallatak muru mirarimanta, mushukyachimanta, wakaychinamanta, kullkaymanta, mintalaymanta, mikunamanta nishaninmi; mana unkushka murumanta, may alli murumanta, chapurishka muyumanta, may allimikuy muyukunamantapash risichin; runakuna chaypi kachun saywashka allpata, tarpuy saywakunata; yaku tiyakkunata; paklla wiñariyta, chakramanta mikunatapash riksichin; shinallatak tarpuy kapukkamayta, pakllapi llankaykunata, chakrapi llankaykunapash riksichin; uchilla llankaywasipak, sapsi tantaripak tantarishkakunapash, iñu llankay wasiyukkuna, iñu, uchilla, malta llankaywasikuna hamutarin; imashina kullkichina, imashina awki mikunata rurakkunapash hamutarinmi.	Su ámbito comprende los factores de la producción agroalimentaria; la agrobiodiversidad y semillas; la investigación y diálogo de saberes; la producción, transformación, conservación, almacenamiento, intercambio, comercialización y consumo; así como la sanidad, calidad, inocuidad y nutrición; la participación social; el ordenamiento territorial; la frontera agrícola; los recursos hídricos; el desarrollo rural y agroalimentario; la agroindustria, empleo rural y agrícola; las formas asociativas y comunitarias de los microempresarios, microempresa o micro, pequeños y medianos productores, las formas de financiamiento; y, aquéllas que defina el régimen de soberanía alimentaria.	1.04899
Kay kamachiy kushka uchilla kamachiykuna, llaktaykunapash pachamamapak hayñita mana kichkichishpallami sumaychanka, pachamamapi tiyakkunatapash sumaychankami; pachamamata charirayana tiksiwan kimirishpa, murukunata alli pukuchinatapash kamankami.	Las normas y políticas que emanen de esta Ley garantizarán el respeto irrestricto a los derechos de la naturaleza y el manejo de los recursos naturales, en concordancia con los principios de sostenibilidad ambiental y las buenas prácticas de producción.	0.675956
<p>	<p>	0
3 niki.	Artículo 3.	1.12857
Mamallaktapak ruraykuna.	Deberes del Estado.	0.2
Mikuyta awkiyachinkapa rurayka, Mamakamachiypak 281 nikipi paktachichun nishpa mañashka hawa, kaykunatapash paktachinatami charin:	Para el ejercicio de la soberanía alimentaria, además de las responsabilidades establecidas en el Art. 281 de la Constitución el Estado¸ deberá:	2.64454
<p>	<p>	0
a) Alli mikunata kunan pachapi paktachun charirayana, kipamanpash tiyachun charirayaypak mirachina; chakra wiñariy llankaywan shuktaklayaman kachun mirachina. ~~~ Kay kamachiyka tawkasami tarpuymanta, wiwakunamanta, chalwaymanta, chalwa wiñachinamanta, sachapi tiyak mishki murukunata tantashkamanta shamuk mikuykunawan kachunpash mirachina;	a) Fomentar la producción sostenible y sustentable de alimentos, reorientando el modelo de desarrollo agroalimentario, que en el enfoque multisectorial de esta ley hace referencia a los recursos alimentarios provenientes de la agricultura, actividad pecuaria, pesca, acuacultura y de la recolección de productos de medios ecológicos naturales;	0.0874126
<p>	<p>	0
b) Allpamanta llukshishka kapukkunata mikuchun yuyayta tiyachina, shina ama shuklla chawchachun, alli allpata ama shuklla hapichun, allpata shuktaksami alli rakinatapash churanami kan;	b) Establecer incentivos a la utilización productiva de la tierra, desincentivos para la falta de aprovechamiento o acaparamiento de tierras productivas y otros mecanismos de redistribución de la tierra;	0.930223
<p>	<p>	0
c) Runakunapak kullki ukupi, yanapak kullki milka ukupipash tankanami kan, iñu llankaywasiyukkuna,iñu,uchilla, maltallankaywasiyukta,chaypi llankakkunamantapash tankanami; uchilla, pakta pukuchikkuna allita kapukyachishpa llankachunpash tankanami kan. ~~~ Shinallatak mikunata kullkachinata, wakaychinata, mikuna katuna alli kachunpash tankanami kan;	c) Impulsar, en el marco de la economía social y solidaria, la asociación de los microempresarios, microempresa o micro, pequeños y medianos productores para su participación en mejores condiciones en el proceso de producción, almacenamiento, transformación, conservación y comercialización de alimentos;	0.227174
<p>	<p>	0
d) Uksi mikunakunata, wanuwan tarpushka murukunamanta shamuk mikunakunata mikuchun yuyachina, shuksamilla muyuta tarpuchun mana mirachinachu, tarpushkamanta shamuk murukunata rupachishpa chawrata rurachunpash mana sakinachu kan; ñukanchik llaktapak mikunatami kallaripi churana.	d) Incentivar el consumo de alimentos sanos, nutritivos de origen agroecológico y orgánico, evitando en lo posible la expansión del monocultivo y la utilización de cultivos agroalimentarios en la producción de biocombustibles, priorizando siempre el consumo alimenticio nacional;	0.690123
<p>	<p>	0
