Runapak Hayñikunata Hatun willay	Declaración Universal de Derechos Humanos	0.22
<p>	<p>	0
1 niki Tukuy runakunami maypipash kishpiyrishka, sumaykaypi paktapakta wacharin. ~~~ Chay wawakunaka sumak yuyaykuna, tiksiyuyay huntami kan; chaymantami runapuraka shukllashina tukushpa, yanaparishpa kawsana kan.	Artículo 1 Todos los seres humanos nacen libres e iguales en dignidad y derechos y, dotados como están de razón y conciencia, deben comportarse fraternalmente los unos con los otros.	1.63356
<p>	<p>	0
2 niki 1.	Artículo 2 1.	9.15
Kay Hatun Willaypi, willashka shina, tukuy runakunami tullpumanta, kawsaymanta, kariwarmimanta, rimaymanta, iñiymanta, lIaktay yuyaymanta, maymanta kashkamanta, charik kashkamanta, wakcha kashkamanta, maypi wacharishka kashkamanta, shuktak yuyayta charishkamantapash mana chikanyachishka kana hayñitami charin, kishpiyrishka kana hayñitapash charinmi.	Toda persona tiene los derechos y libertades proclamados en esta Declaración, sin distinción alguna de raza, color, sexo, idioma, religión, opinión política o de cualquier otra índole, origen nacional o social, posición económica, nacimiento o cualquier otra condición.	0.440558
2.	2.	1.8
Ashtawanpash: Ilaktak kakpi, kamachiychichishka kakp, istallaktamanta kakpi, mana paypak allpapi kawsak mana chikanyachinachu. ~~~ Shinallatak chikan Ilakta kakpi, lIapirishka Ilakta kakpi, saywashka Ilakta kakpipash, kay hatun willaypi nishkashina, kishpiyrita, runapak hayñitaka charinmi, mana chikanyachishka, manyayachishka kanchu.	Además, no se hará distinción alguna fundada en la condición política, jurídica o internacional del país o territorio de cuya jurisdicción dependa una persona, tanto si se trata de un país independiente, como de un territorio bajo administración fiduciaria, no autónomo o sometido a cualquier otra limitación de soberanía.	0.051581
<p>	<p>	0
3 niki Tukuy runami kikin kawsay, kishpiykay hayñita charin, kikinpak kawsaykamaytapash charinmi.	Artículo 3 Todo individuo tiene derecho a la vida, a la libertad y a la seguridad de su persona.	3.03885
<p>	<p>	0
4 niki Mana pipash wanachiwasipi ñitishka, takashka kanachu, shinallatak mitayu Ilankaypash ña mana tiyanachu.Tukuysami wanachiykuna mana tiyanchu, ñami washaman sakirirka.	Artículo 4 Nadie estará sometido a esclavitud ni a servidumbre; la esclavitud y la trata de esclavos están prohibidas en todas sus formas.	1.91941
<p>	<p>	0
5 niki Mana pipash watashka, utushka, makashka kankachu. ~~~ Mana pipash, ancha millashka, wiwatashina rikushka, kumurichishka, Ilapishka kankachu.	Artículo 5 Nadie será sometido a torturas ni a penas o tratos crueles, inhumanos o degradantes.	1.74033
<p>	<p>	0
